species	location	sample_name	model	ncount_max	mt_percent	tumor_type	processed	sp_pattern	organism	data_type	method	data_source	unique	CL_or_PDX	harmony_vars	theta_vals
xenograft	lung	SJOS063833_X1	SJOS063833_X1	1000	15	metastatic	pending	^mm10---	mouse	three_prime	single_nucleus	SJ	xeno_mets_mouse	xenograft_PDX	"sample_name,method,data_source,CL_or_PDX"	3/3/3/3
xenograft	lung	SJOS001107_X3	SJOS001107_X3	1000	10	metastatic	pending	^mm10---	mouse	three_prime	single_nucleus	SJ	xeno_mets_mouse	xenograft_PDX	"sample_name,method,data_source,CL_or_PDX"	3/3/3/3
xenograft	lung	SJOS001116_X2	SJOS001116_X2	1000	10	metastatic	pending	^mm10---	mouse	three_prime	single_nucleus	SJ	xeno_mets_mouse	xenograft_PDX	"sample_name,method,data_source,CL_or_PDX"	3/3/3/3
xenograft	lung	SJOS030605_X2	SJOS030605_X2	1000	10	metastatic	pending	^mm10---	mouse	three_prime	single_nucleus	SJ	xeno_mets_mouse	xenograft_PDX	"sample_name,method,data_source,CL_or_PDX"	3/3/3/3
xenograft	lung	SJOS001132_X1	SJOS001132_X1	2000	15	metastatic	pending	^mm10---	mouse	three_prime	single_nucleus	SJ	xeno_mets_mouse	xenograft_PDX	"sample_name,method,data_source,CL_or_PDX"	3/3/3/3
mousemodel	cc_tumor	S0200	F420	70000	15	primary	yes	nothing	mouse	three_prime	single_cell	NCH	mm_prim	mousemodel_CL	"sample_name, data_source,model,location"	3/3/3/3
mousemodel	cc_tumor	S0201	K7M2	70000	15	primary	yes	nothing	mouse	three_prime	single_cell	NCH	mm_prim	mousemodel_CL	"sample_name, data_source,model,location"	3/3/3/3
mousemodel	tibia	S0104	F420	40000	20	primary	yes	nothing	mouse	three_prime	single_cell	NCH	mm_prim	mousemodel	"sample_name, data_source,model,location"	3/3/3/3
mousemodel	tibia	S0105	K7M2	40000	15	primary	yes	nothing	mouse	three_prime	single_cell	NCH	mm_prim	mousemodel	"sample_name, data_source,model,location"	3/3/3/3
mousemodel	tibia	F331	F331	5000	20	primary	yes	nothing	mouse	three_prime	single_cell	SJ	mm_prim	mousemodel	"sample_name, data_source,model,location"	3/3/3/3
mousemodel	lung	S0246	F420	30000	20	metastatic	yes	nothing	mouse	three_prime	single_cell	NCH	mm_mets	mousemodel	"sample_name,model,location"	3/3/2003
mousemodel	lung	S0122	K7M2	55000	20	metastatic	yes	nothing	mouse	three_prime	single_cell	NCH	mm_mets	mousemodel	"sample_name,model,location"	3/3/2003
mousemodel	lung	S0067	F420	60000	20	metastatic	yes	nothing	mouse	three_prime	single_cell	NCH	mm_mets	mousemodel	"sample_name,model,location"	3/3/2003
mousemodel	lung	S0068	F420	50000	20	metastatic	yes	nothing	mouse	three_prime	single_cell	NCH	mm_mets	mousemodel	"sample_name,model,location"	3/3/2003
mousemodel	lung	S0075	K7M2	90000	20	metastatic	yes	nothing	mouse	three_prime	single_cell	NCH	mm_mets	mousemodel	"sample_name,model,location"	3/3/2003
mousemodel	cc_tumor	S0200	F420	70000	15	primary	yes	nothing	mouse	three_prime	single_cell	NCH	mm_mets	mousemodel_CL	"sample_name,model,location"	3/3/2003
mousemodel	cc_tumor	S0201	K7M2	70000	15	primary	yes	nothing	mouse	three_prime	single_cell	NCH	mm_mets	mousemodel_CL	"sample_name,model,location"	3/3/2003
